"{u'room': 0.1516795878012794}","{u'hear': 0.15002017206870338}","{u'night': 0.14475040589092822}","{u'noise': 0.10770507088801508}","{u'door': 0.09660492510929715}","{u'loud': 0.08341929739639588}","{u'people': 0.08023501315280408}","{u'rooms': 0.06657847016444203}","{u'morning': 0.05982868454950446}","{u'thin': 0.05917837297863009}"
"{u'restaurant': 0.2460183312468548}","{u'food': 0.12129414683982129}","{u'great': 0.11096690279125318}","{u'good': 0.11094836195813187}","{u'hotel': 0.08938537303805162}","{u'breakfast': 0.0856957472469115}","{u'dinner': 0.06925002826831202}","{u'street': 0.05616020008466914}","{u'restaurants': 0.0552887809279677}","{u'excellent': 0.05499212759802679}"
"{u'hotel': 0.20174643699676564}","{u'london': 0.19293207485867853}","{u'park': 0.1689898074696419}","{u'stay': 0.10564939117501586}","{u'night': 0.08428993687760473}","{u'stayed': 0.05432110560810853}","{u'nights': 0.05190228064928462}","{u'royal': 0.050590375586871655}","{u'hall': 0.050508381520470845}","{u'hyde': 0.039070209257557796}"
"{u'hotel': 0.184560214919007}","{u'stay': 0.15659695169058518}","{u'place': 0.1553573980775045}","{u'good': 0.13883001656976232}","{u'location': 0.08245031997480311}","{u'great': 0.08067762502276302}","{u'clean': 0.0657629960653731}","{u'price': 0.05034188283597173}","{u'london': 0.043344402762129274}","{u'nice': 0.04207819208210064}"
"{u'bar': 0.25311971843555997}","{u'area': 0.11354318089023278}","{u'nice': 0.10635151659616378}","{u'lobby': 0.0977035962923923}","{u'great': 0.08878682872529116}","{u'restaurant': 0.0795788099562495}","{u'hotel': 0.0701915596783214}","{u'lounge': 0.06497144198200339}","{u'place': 0.0640752844375711}","{u'night': 0.06167806300621476}"
"{u'helpful': 0.20941550428957784}","{u'staff': 0.1585790269213455}","{u'english': 0.13522505731824241}","{u'directions': 0.09926980332507448}","{u'friendly': 0.08925655778284691}","{u'concierge': 0.0776720029401467}","{u'great': 0.06097299037433945}","{u'good': 0.05841576151278595}","{u'desk': 0.056597972322043104}","{u'gave': 0.054595323213597585}"
"{u'store': 0.1542131651596731}","{u'street': 0.1459008399359216}","{u'food': 0.11262153064660606}","{u'hotel': 0.11262153064660606}","{u'shop': 0.09317609113400327}","{u'corner': 0.09071540280061836}","{u'restaurants': 0.07706158338976302}","{u'breakfast': 0.0746008950563781}","{u'grocery': 0.0709098625563007}","{u'starbucks': 0.06817909867412965}"
"{u'parking': 0.28430229470847507}","{u'car': 0.19234807155230801}","{u'hotel': 0.09551763015820436}","{u'park': 0.08675919201544892}","{u'valet': 0.07878845066497554}","{u'garage': 0.061796705574319356}","{u'day': 0.05804576846821424}","{u'free': 0.05309453148815548}","{u'lot': 0.04793699296726094}","{u'street': 0.04141036240263803}"
"{u'square': 0.2525187262722456}","{u'times': 0.18921770459239173}","{u'central': 0.1011610213374369}","{u'walk': 0.0958836516218146}","{u'park': 0.08567159853574029}","{u'location': 0.07158033602233843}","{u'blocks': 0.054679045478540286}","{u'subway': 0.052773709399393534}","{u'state': 0.05029266026036072}","{u'empire': 0.04622154647973781}"
"{u'hotel': 0.36714588125438846}","{u'building': 0.1496770812536542}","{u'rooms': 0.1043279680787677}","{u'construction': 0.0695400960523992}","{u'work': 0.06336747875951536}","{u'renovation': 0.058800455560156215}","{u'place': 0.050451366273827784}","{u""it's"": 0.04852465336159815}","{u'lobby': 0.04606274241819361}","{u'renovations': 0.04210227698749935}"
"{u'food': 0.1574819961242171}","{u'good': 0.15463267032331057}","{u'service': 0.1450508667450409}","{u'restaurant': 0.12028946907698605}","{u'breakfast': 0.11728885164063317}","{u'room': 0.09013200307801092}","{u'hotel': 0.07908771369042637}","{u'eat': 0.0541245938417764}","{u'expensive': 0.04463104371751708}","{u'excellent': 0.03728079176208126}"
